key	th	en	cn	ja	km	ko	lo	my	vi	ms	id	fil
add_language	เพิ่ม ภาษา	Add Language	添加语言	言語を追加	បន្ថែមភាសា	언어 추가	ເພີ່ມພາສາ	ဘာသာစကားထည့်ပါ	Thêm ngôn ngữ	Add Language	Add Language	Add Language
add_line_oa_friend	เพิ่มเพื่อน LINE OA (ถ้ายังไม่ได้เพิ่ม)	Add LINE OA Friend (if not added)	添加 LINE OA 好友（如果尚未添加）	LINE OA友だちを追加（まだ追加していない場合）	បន្ថែមមិត្ត LINE OA (ប្រសិនបើមិនទាន់បានបន្ថែម)	LINE OA 친구 추가 (아직 추가하지 않은 경우)	ເພີ່ມໝູ່ LINE OA (ຖ້າຍັງບໍ່ໄດ້ເພີ່ມ)	LINE OA သူငယ်ချင်းထည့်ရန် (မထည့်ရသေးပါက)	Thêm bạn LINE OA (nếu chưa thêm)	Tambah Rakan LINE OA (jika belum ditambah)	Tambah Teman LINE OA (jika belum ditambahkan)	Magdagdag ng Kaibigan sa LINE OA (kung hindi pa naidagdag)
add_list	เพิ่มรายการ	Add List	添加列表	リストを追加	បន្ថែមបញ្ជី	목록 추가	ເພີ່ມລາຍການ	စာရင်းထည့်ပါ	Thêm danh sách	Add List	Add List	Add List
add_media	เพิ่มสื่อโฆษณา	Add Advertising Media	添加广告媒体	広告メディアを追加	បន្ថែមប្រព័ន្ធផ្សព្វផ្សាយ	광고 매체 추가	ເພີ່ມສື່ໂຄສະນາ	ကြော်ငြာမီဒီယာထည့်ပါ	Thêm phương tiện quảng cáo	Add Advertising Media	Add Advertising Media	Add Advertising Media
add_new	เพิ่มใหม่	New	新增	新規	បន្ថែមថ្មី	새로 추가	ເພີ່ມໃໝ່	အသစ်ထည့်	Thêm mới	New	New	New
add_new_exchange_rate	เพิ่มอัตราแลกเปลี่ยนใหม่	Add New Exchange Rate	添加新汇率	新しい為替レートを追加	បន្ថែមអត្រាប្តូរប្រាក់ថ្មី	새 환율 추가	ເພີ່ມອັດຕາແລກປ່ຽນໃໝ່	ငွေလဲနှုန်းအသစ်ထည့်ရန်	Thêm tỷ giá mới	Add New Exchange Rate	Add New Exchange Rate	Add New Exchange Rate
add_new_line	เพิ่มรายการใหม่	Add New Line	添加新行	新しい行を追加	បន្ថែមបន្ទាត់ថ្មី	새 줄 추가	ເພີ່ມແຖວໃໝ່	လိုင်းသစ်ထည့်ပါ	Thêm dòng mới	Add New Line	Add New Line	Add New Line
add_new_line_by_barcode	เพิ่มรายการใหม่ด้วยบาร์โค้ด	Add New Line by Barcode	通过条形码添加新行	バーコードで新しい行を追加	បន្ថែមបន្ទាត់ថ្មីដោយបាកូដ	바코드로 새 줄 추가	ເພີ່ມແຖວໃໝ່ດ້ວຍບາໂຄດ	ဘားကုဒ်ဖြင့် လိုင်းသစ်ထည့်ပါ	Thêm dòng mới bằng mã vạch	Add New Line by Barcode	Add New Line by Barcode	Add New Line by Barcode
add_new_line_by_search	เพิ่มรายการใหม่ด้วยการค้นหา	Add New Line by Search	通过搜索添加新行	検索で新しい行を追加	បន្ថែមបន្ទាត់ថ្មីដោយការស្វែងរក	검색으로 새 줄 추가	ເພີ່ມແຖວໃໝ່ດ້ວຍການຄົ້ນຫາ	ရှာဖွေမှုဖြင့် လိုင်းသစ်ထည့်ပါ	Thêm dòng mới bằng tìm kiếm	Add New Line by Search	Add New Line by Search	Add New Line by Search
add_new_line_with_barcode	เพิ่มบรรทัดใหม่ด้วยบาร์โค้ด	Add New Line with Barcode	使用条形码添加新行	バーコードで新しい行を追加	បន្ថែមបន្ទាត់ថ្មីជាមួយបាកូដ	바코드로 새 줄 추가	ເພີ່ມແຖວໃໝ່ດ້ວຍບາໂຄດ	ဘားကုဒ်ဖြင့် လိုင်းအသစ်ထည့်ပါ	Thêm dòng mới với mã vạch	Add New Line with Barcode	Add New Line with Barcode	Add New Line with Barcode
add_new_permission	เพิ่มสิทธิ์ใหม่	Add New Permission	添加新权限	新しい権限を追加	បន្ថែមសិទ្ធិថ្មី	새 권한 추가	ເພີ່ມສິດໃໝ່	ခွင့်ပြုချက်အသစ်ထည့်ပါ	Thêm quyền mới	Tambah Kebenaran Baru	Tambah Izin Baru	Magdagdag ng Bagong Pahintulot
add_new_purchase_type	เพิ่มประเภทการจัดซื้อใหม่	Add New Purchase Type	添加新采购类型	新しい購入タイプを追加	បន្ថែមប្រភេទទិញថ្មី	새 구매 유형 추가	ເພີ່ມປະເພດການຈັດຊື້ໃໝ່	ဝယ်ယူမှုအမျိုးအစားအသစ်ထည့်ပါ	Thêm loại mua hàng mới	Tambah Jenis Pembelian Baru	Tambah Tipe Pembelian Baru	Magdagdag ng Bagong Uri ng Pagbili
add_new_quotation_type	เพิ่มประเภทใบเสนอราคาใหม่	Add New Quotation Type	添加新报价单类型	新しい見積タイプを追加	បន្ថែមប្រភេទសម្រង់តម្លៃថ្មី	새 견적 유형 추가	ເພີ່ມປະເພດໃບສະເໜີລາຄາໃໝ່	စျေးနှုန်းအဆိုပြုလွှာအမျိုးအစားအသစ်ထည့်ပါ	Thêm loại báo giá mới	Tambah Jenis Sebut Harga Baru	Tambah Tipe Penawaran Harga Baru	Magdagdag ng Bagong Uri ng Quotation
add_new_sale_order_type	เพิ่มประเภทใบสั่งขายใหม่	Add New Sale Order Type	添加新销售订单类型	新しい販売注文タイプを追加	បន្ថែមប្រភេទបញ្ជាទិញលក់ថ្មី	새 판매 주문 유형 추가	ເພີ່ມປະເພດໃບສັ່ງຂາຍໃໝ່	အရောင်းအမှာစာအမျိုးအစားအသစ်ထည့်ပါ	Thêm loại đơn hàng bán mới	Tambah Jenis Pesanan Jualan Baru	Tambah Tipe Pesanan Penjualan Baru	Magdagdag ng Bagong Uri ng Sales Order
add_option	เพิ่มตัวเลือก	Add Options	添加选项	オプションを追加	បន្ថែមជម្រើស	옵션 추가	ເພີ່ມທາງເລືອກ	ရွေးချယ်မှုများထည့်ပါ	Thêm tùy chọn	Add Options	Add Options	Add Options
add_order_station	เพิ่มเครื่อง Order Station	Add Order Station	添加点餐台	オーダーステーションを追加	បន្ថែមស្ថានីយបញ្ជាទិញ	주문 스테이션 추가	ເພີ່ມສະຖານີສັ່ງຊື້	အော်ဒါစခန်းထည့်ပါ	Thêm trạm đặt hàng	Add Order Station	Add Order Station	Add Order Station
add_order_type	เพิ่มประเภทการ Order Station / เครื่องดื่ม	Add Order Station / Drink Type	添加点餐/饮料类型	オーダーステーション/ドリンクタイプを追加	បន្ថែមប្រភេទស្ថានីយបញ្ជាទិញ / ភេសជ្ជៈ	주문 스테이션 / 음료 유형 추가	ເພີ່ມປະເພດສະຖານີສັ່ງຊື້ / ເຄື່ອງດື່ມ	အော်ဒါစခန်း / အချိုရည်အမျိုးအစားထည့်ပါ	Thêm loại trạm đặt hàng / đồ uống	Add Order Station / Drink Type	Add Order Station / Drink Type	Add Order Station / Drink Type
add_payment_entry	เพิ่มรายการรับชำระ	Add Payment Entry	添加付款条目	支払い入力の追加	បន្ថែមការទូទាត់	지불 항목 추가	ເພີ່ມລາຍການຮັບຊໍາລະ	ပေးချေမှုအသစ်ထည့်ရန်	Thêm mục thanh toán	Add Payment Entry	Add Payment Entry	Add Payment Entry
add_permission_success	เพิ่มสิทธิ์สำเร็จ	Permission added successfully	权限添加成功	権限を追加しました	បន្ថែមសិទ្ធិដោយជោគជ័យ	권한 추가 성공	ເພີ່ມສິດສຳເລັດ	ခွင့်ပြုချက်ထည့်သွင်းခြင်းအောင်မြင်ပါသည်	Thêm quyền thành công	Kebenaran berjaya ditambah	Izin berhasil ditambahkan	Matagumpay na naidagdag ang pahintulot
add_picture	เพิ่มรูปภาพ	Add Image	添加图片	画像を追加	បន្ថែមរូបភាព	이미지 추가	ເພີ່ມຮູບພາບ	ပုံထည့်ပါ	Thêm hình ảnh	Add Image	Add Image	Add Image
add_point_success	เพิ่มแต้มสำเร็จ	Points added successfully	增加积分成功	ポイント追加成功	បន្ថែមពិន្ទុជោគជ័យ	포인트 추가 성공	ເພີ່ມແຕ້ມສຳເລັດ	အမှတ်များ ထည့်သွင်းခြင်း အောင်မြင်သည်	Thêm điểm thành công	Tambah mata berjaya	Tambah poin berhasil	Matagumpay na nagdagdag ng puntos
add_points	เพิ่มแต้ม	Add Points	添加积分	ポイントを追加	បន្ថែមពិន្ទុ	포인트 추가	ເພີ່ມຄະແນນ	အမှတ်ထည့်ပါ	Thêm điểm	Add Points	Add Points	Add Points
add_points_failed	เพิ่มแต้มไม่สำเร็จ	Failed to add points	增加积分失败	ポイント追加失敗	បន្ថែមពិន្ទុបរាជ័យ	포인트 추가 실패	ເພີ່ມແຕ້ມບໍ່ສຳເລັດ	အမှတ်များ ထည့်သွင်းခြင်း မအောင်မြင်ပါ	Thêm điểm không thành công	Tambah mata gagal	Tambah poin gagal	Nabigong magdagdag ng puntos
add_product	เพิ่มสินค้า	Add Products	添加产品	商品を追加	បន្ថែមផលិតផល	제품 추가	ເພີ່ມສິນຄ້າ	ကုန်ပစ္စည်းထည့်ပါ	Thêm sản phẩm	Add Products	Add Products	Add Products
add_product_from_data_center	เพิ่มสินค้าจากฐานข้อมูลกลาง	Add Product from Data Center	从数据中心添加产品	データセンターから商品を追加	បន្ថែមផលិតផលពីមជ្ឈមណ្ឌលទិន្នន័យ	데이터 센터에서 제품 추가	ເພີ່ມສິນຄ້າຈາກຖານຂໍ້ມູນກາງ	ဒေတာစင်တာမှ ကုန်ပစ္စည်းထည့်ပါ	Thêm sản phẩm từ trung tâm dữ liệu	Add Product from Data Center	Add Product from Data Center	Add Product from Data Center
